Date,Store ID,Product ID,Units Sold,Price,Discount,Weather Condition,Holiday/Promotion
2022-01-01,S001,P0001,127,33.5,20,Rainy,0
2022-01-01,S001,P0002,150,63.01,20,Sunny,0
2022-01-01,S001,P0003,65,27.99,10,Sunny,1
2022-01-01,S001,P0004,61,32.72,10,Cloudy,1
2022-01-01,S001,P0005,14,73.64,0,Sunny,0
2022-01-01,S001,P0006,128,76.83,10,Sunny,1
2022-01-01,S001,P0007,97,34.16,10,Rainy,1
2022-01-01,S001,P0008,312,97.99,5,Cloudy,0
2022-01-01,S001,P0009,175,20.74,10,Cloudy,0
2022-01-01,S001,P0010,28,59.99,0,Rainy,1
2022-01-01,S001,P0011,150,58.53,10,Sunny,1
2022-01-01,S001,P0012,24,58.25,20,Snowy,0
2022-01-01,S001,P0013,42,43.6,0,Cloudy,0
2022-01-01,S001,P0014,12,78.11,0,Sunny,0
2022-01-01,S001,P0015,369,92.99,15,Snowy,0
2022-01-01,S001,P0016,255,21.9,5,Cloudy,1
2022-01-01,S001,P0017,246,21.07,20,Sunny,0
2022-01-01,S001,P0018,151,19.57,5,Cloudy,0
2022-01-01,S001,P0019,257,73.28,10,Cloudy,0
2022-01-01,S001,P0020,99,30.24,5,Cloudy,0
2022-01-01,S002,P0001,104,32.8,20,Sunny,1
2022-01-01,S002,P0002,141,46.16,10,Rainy,1
2022-01-01,S002,P0003,182,20.46,20,Snowy,1
2022-01-01,S002,P0004,63,26.19,0,Cloudy,0
2022-01-01,S002,P0005,156,83.29,20,Rainy,0
2022-01-01,S002,P0006,250,85.59,20,Cloudy,0
2022-01-01,S002,P0007,393,91.13,5,Sunny,0
2022-01-01,S002,P0008,29,66.96,20,Snowy,0
2022-01-01,S002,P0009,9,81.29,5,Rainy,1
2022-01-01,S002,P0010,126,60.84,0,Snowy,1
2022-01-01,S002,P0011,13,34.62,0,Snowy,1
2022-01-01,S002,P0012,25,19.56,5,Rainy,1
2022-01-01,S002,P0013,283,57.78,20,Cloudy,0
2022-01-01,S002,P0014,359,91.28,20,Cloudy,0
2022-01-01,S002,P0015,129,59.9,15,Sunny,1
2022-01-01,S002,P0016,63,45.65,20,Rainy,1
2022-01-01,S002,P0017,373,11.71,20,Cloudy,1
2022-01-01,S002,P0018,160,58.84,5,Cloudy,0
2022-01-01,S002,P0019,15,84.99,5,Sunny,1
2022-01-01,S002,P0020,101,87.1,0,Rainy,1
2022-01-01,S003,P0001,147,67.21,5,Sunny,1
2022-01-01,S003,P0002,4,28.2,10,Sunny,1
2022-01-01,S003,P0003,77,56.16,10,Sunny,1
2022-01-01,S003,P0004,31,89.53,20,Rainy,1
2022-01-01,S003,P0005,325,97.95,20,Sunny,0
2022-01-01,S003,P0006,163,76.37,5,Rainy,1
2022-01-01,S003,P0007,34,86.99,15,Rainy,1
2022-01-01,S003,P0008,47,66.53,15,Cloudy,1
2022-01-01,S003,P0009,15,74.86,15,Snowy,1
2022-01-01,S003,P0010,126,97.09,5,Rainy,1
2022-01-01,S003,P0011,232,56.19,0,Snowy,1
2022-01-01,S003,P0012,175,90.38,20,Cloudy,0
2022-01-01,S003,P0013,17,73.98,20,Cloudy,1
2022-01-01,S003,P0014,369,79.03,5,Rainy,0
2022-01-01,S003,P0015,260,27.72,5,Snowy,0
2022-01-01,S003,P0016,347,98.18,15,Rainy,0
2022-01-01,S003,P0017,150,27.1,5,Cloudy,1
2022-01-01,S003,P0018,70,97.08,15,Snowy,1
2022-01-01,S003,P0019,249,26.71,15,Cloudy,1
2022-01-01,S003,P0020,370,95.85,20,Cloudy,1
2022-01-01,S004,P0001,271,15.62,15,Sunny,0
2022-01-01,S004,P0002,180,41.13,5,Sunny,0
2022-01-01,S004,P0003,344,89.32,20,Cloudy,0
2022-01-01,S004,P0004,0,87.23,10,Sunny,0
2022-01-01,S004,P0005,200,81.72,0,Snowy,1
2022-01-01,S004,P0006,382,41.35,10,Snowy,0
2022-01-01,S004,P0007,190,67.26,20,Cloudy,0
2022-01-01,S004,P0008,51,85.88,20,Snowy,1
2022-01-01,S004,P0009,40,59.23,10,Rainy,1
2022-01-01,S004,P0010,104,33.48,15,Cloudy,0
2022-01-01,S004,P0011,46,54.84,0,Sunny,1
2022-01-01,S004,P0012,9,14.25,5,Rainy,1
2022-01-01,S004,P0013,56,61.81,0,Sunny,0
2022-01-01,S004,P0014,63,66.94,10,Snowy,1
2022-01-01,S004,P0015,181,60.54,5,Cloudy,0
2022-01-01,S004,P0016,94,94.26,15,Rainy,0
2022-01-01,S004,P0017,46,25.55,0,Rainy,0
2022-01-01,S004,P0018,8,16.73,5,Cloudy,1
2022-01-01,S004,P0019,172,71.2,15,Rainy,1
2022-01-01,S004,P0020,68,11.5,20,Snowy,0
2022-01-01,S005,P0001,77,70.33,10,Cloudy,0
2022-01-01,S005,P0002,298,57.15,5,Snowy,1
2022-01-01,S005,P0003,64,36.17,5,Sunny,0
2022-01-01,S005,P0004,300,50.77,15,Snowy,1
2022-01-01,S005,P0005,21,92.86,15,Rainy,1
2022-01-01,S005,P0006,176,60.76,20,Cloudy,0
2022-01-01,S005,P0007,131,46.47,15,Snowy,0
2022-01-01,S005,P0008,317,34.08,5,Snowy,1
2022-01-01,S005,P0009,97,87.81,5,Snowy,0
2022-01-01,S005,P0010,8,37.04,10,Rainy,1
2022-01-01,S005,P0011,104,54.12,10,Rainy,1
2022-01-01,S005,P0012,87,67.64,15,Sunny,0
2022-01-01,S005,P0013,238,82.18,5,Cloudy,0
2022-01-01,S005,P0014,171,42.62,20,Cloudy,1
2022-01-01,S005,P0015,250,11.54,10,Cloudy,0
2022-01-01,S005,P0016,11,16.3,5,Sunny,0
2022-01-01,S005,P0017,371,98.31,15,Sunny,1
2022-01-01,S005,P0018,107,48.96,10,Snowy,1
2022-01-01,S005,P0019,106,88.22,5,Rainy,0
2022-01-01,S005,P0020,101,11.04,10,Snowy,1
2022-01-02,S001,P0001,81,27.95,10,Cloudy,0
2022-01-02,S001,P0002,163,19.78,15,Cloudy,0
2022-01-02,S001,P0003,464,70.99,10,Snowy,0
2022-01-02,S001,P0004,116,49.56,5,Snowy,0
2022-01-02,S001,P0005,200,23.76,15,Sunny,1
2022-01-02,S001,P0006,58,47.56,0,Snowy,1
2022-01-02,S001,P0007,56,17.1,5,Snowy,1
2022-01-02,S001,P0008,74,58.89,5,Cloudy,0
2022-01-02,S001,P0009,54,99.76,20,Cloudy,0
2022-01-02,S001,P0010,39,11.44,5,Sunny,0
2022-01-02,S001,P0011,12,53.84,0,Cloudy,1
2022-01-02,S001,P0012,56,57.84,5,Snowy,1
2022-01-02,S001,P0013,31,35.51,15,Cloudy,1
2022-01-02,S001,P0014,25,31.41,0,Cloudy,1
2022-01-02,S001,P0015,198,28.06,20,Cloudy,1
2022-01-02,S001,P0016,77,35.67,15,Snowy,0
2022-01-02,S001,P0017,165,28.18,5,Cloudy,0
2022-01-02,S001,P0018,42,74.42,5,Snowy,0
2022-01-02,S001,P0019,8,91.95,5,Cloudy,1
2022-01-02,S001,P0020,174,97.88,0,Snowy,0
2022-01-02,S002,P0001,343,66.57,20,Rainy,1
2022-01-02,S002,P0002,71,90.36,5,Rainy,0
2022-01-02,S002,P0003,157,92.24,5,Snowy,1
2022-01-02,S002,P0004,88,68.71,0,Snowy,0
2022-01-02,S002,P0005,64,87.22,5,Cloudy,1
2022-01-02,S002,P0006,273,79.38,0,Rainy,0
2022-01-02,S002,P0007,247,17.41,15,Snowy,0
2022-01-02,S002,P0008,42,14.8,15,Sunny,1
2022-01-02,S002,P0009,197,30.5,0,Sunny,0
2022-01-02,S002,P0010,374,27.84,15,Cloudy,1
2022-01-02,S002,P0011,154,88.62,0,Cloudy,0
2022-01-02,S002,P0012,236,82.35,20,Rainy,0
2022-01-02,S002,P0013,278,92.57,10,Sunny,1
2022-01-02,S002,P0014,27,94.38,5,Rainy,0
2022-01-02,S002,P0015,106,70.59,0,Cloudy,1
2022-01-02,S002,P0016,154,63.13,10,Sunny,0
2022-01-02,S002,P0017,176,46.04,5,Rainy,1
2022-01-02,S002,P0018,124,21.07,10,Sunny,0
2022-01-02,S002,P0019,479,79.11,0,Cloudy,0
